Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,75621.0,11131.12,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,59881.0043,3328.4,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,46638.1343,0.0,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,59006.7205,2195.05,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,68326.2786,15420.99,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,44693.4084,1000.49,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,43600.4359,4196.09,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,57714.4705,7570.81,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,49948.065,281.74,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,55968.2496,2535.85,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42126.025,3154.0,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42126.025,1182.87,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,63480.1621,11486.92,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42277.68,1472.07,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,42277.68,2052.65,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,52080.82,1791.42,0.0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,66572.0,3148.64,582.55,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,69442.0,2440.69,2547.59,13
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,86103.0,1969.09,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,55730.5307,127.73,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,F,76668.0,3226.55,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,54582.5153,8382.14,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,59394.1592,3619.49,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,56662.7289,12204.96,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.8889,2123.38,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,49825.9489,4502.32,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,93986.002,25509.32,0.0,N20
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.6211,11466.39,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,52641.5788,10848.36,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,52641.5788,5098.25,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,50039.0312,3892.88,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,51569.8582,2546.11,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.6263,3519.93,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,49826.3791,3714.56,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,51073.5768,3262.58,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46468.6211,632.65,0.0,12
