Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,45929.49,6845.84,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46681.2841,1539.66,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,45254.34,1368.58,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,46862.73,2590.35,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,43724.0,1330.0,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,66572.0,5008.34,1907.4,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,69442.0,940.73,5490.04,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,69442.0,558.68,5490.04,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,69442.0,6732.45,5490.01,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,66572.0,7000.21,3137.75,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,58571.1182,350.88,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,F,56922.265,6156.95,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,59376.01,2171.54,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,58877.7277,5992.54,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,58877.7277,518.79,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,59003.2323,802.16,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,59003.2162,505.68,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,59591.7086,1688.45,0.0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,69805.575,5951.34,0.0,N17
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,52918.8229,5780.52,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,64829.58,6895.97,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,48575.6793,240.87,0.0,13
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,166140.03,0.0,0.0,M2
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,85714.4272,0.0,0.0,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,99335.0745,1540.34,0.0,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,94334.247,0.0,0.0,N25
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,65480.48,377.81,0.0,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,117424.0,0.0,0.0,N25
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,75500.0,0.0,0.0,18
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,77452.155,0.0,0.0,18
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,98349.0,0.0,0.0,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,64633.0,0.0,0.0,16
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,54583.0,0.0,0.0,18
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,61240.0,6686.59,987.51,10
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,61240.0,1211.31,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,61240.0,6048.36,0.0,10
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,82146.3286,18658.36,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,75621.0,285.84,3569.81,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,75621.0032,7168.3,3572.82,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,75621.0,1554.96,3572.57,15
ABS,Alcohol Beverage Services,ABS 85 Wholesale Operations,M,98228.0,0.0,0.0,21
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,55148.0,1472.55,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,49230.0,2655.45,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,87927.0,0.0,0.0,N20
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,72463.0,1182.12,5733.72,14
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,70452.4518,0.0,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,F,47447.9101,1302.22,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,F,58239.9985,536.86,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,24047.6555,6.3,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,94202.595,230.05,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,22627.17,932.95,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,21862.0,37.55,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,98228.0,0.0,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,72463.0,137.53,3420.64,14
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,66846.7361,10.71,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,70660.89,0.0,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Cabin John,F,45974.7155,1141.78,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Cabin John,F,44754.6895,697.57,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,24779.5625,226.32,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,21862.0,863.98,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,96329.8444,1034.41,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,85408.7344,2287.24,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,60695.9736,368.05,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,24779.2732,314.28,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,22627.17,23.52,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,21862.0,77.33,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,72463.0,142.59,724.64,14
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,84810.2485,1422.37,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,71207.1769,391.52,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,68130.0,88.62,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,47447.9116,28.67,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,45974.7155,1006.4,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Cloverly,F,27031.164,154.9,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,21862.0,125.44,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,72463.0,509.8,1177.55,14
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,90375.0561,0.0,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,72463.0,533.47,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,45974.7317,102.8,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,45974.7155,180.84,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,62781.9443,1056.16,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,68473.5124,0.0,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,21862.0,0.0,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Director,F,236000.0,0.0,0.0,EX1
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,48889.6586,831.9,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Director's Office,M,82784.3253,496.18,0.0,18
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,133087.1035,717.7,0.0,N28
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,82780.3811,436.44,0.0,18
ABS,Alcohol Beverage Services,ABS 85 Director's Office,M,86103.0,32.94,6836.38,18
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,134500.0,0.0,5747.8,N28
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,85209.83,241.8,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,86103.0,471.76,0.0,18
ABS,Alcohol Beverage Services,ABS 85 Director's Office,M,40625.8,0.0,0.0,N16
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,72463.0,361.58,3420.79,14
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,53257.6,311.09,578.05,12
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,72463.0,24.33,1006.37,14
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,F,87532.4427,2319.31,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,62607.646,1290.64,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,43419.9874,508.38,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,F,57701.6433,1427.09,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,22627.17,8167.94,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,21862.0,0.0,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,21862.0,70.32,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,72463.0002,801.89,2204.91,14
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,33286.0,550.27,1479.28,12
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,F,68435.09,1103.48,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,M,62820.3373,1249.39,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,M,21862.0,473.56,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Fallsgrove,M,91811.02,263.52,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,80239.2046,0.0,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,72463.0,183.44,3420.8,14
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,78883.0226,131.98,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,46144.8795,9562.78,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,46144.8787,3653.65,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,22627.17,56.95,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,98228.0,0.0,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,21862.0,268.41,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,82733.0916,962.71,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,F,62820.332,993.74,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,72559.2339,456.28,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,47082.115,267.56,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,52456.0563,2287.77,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,24047.6555,486.46,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,21864.1,74.37,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,F,21862.0,0.0,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,21862.0,0.0,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,53257.6,113.26,4332.4,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,66083.4184,3066.55,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,75233.4096,0.0,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,63215.25,5331.03,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,45974.7317,3165.35,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,F,60908.636,5422.71,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,22551.3425,2.85,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,19695.5,0.0,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,19695.5,0.0,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,92459.655,1280.88,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,F,21862.0,0.0,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,98228.0,0.0,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,86103.0015,583.86,3665.73,N18
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,64631.0773,1800.35,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,F,65240.88,382.3,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,43981.5101,0.0,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,F,44584.4143,710.12,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,22551.3425,223.0,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,21862.0,0.0,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,21862.0,5.68,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,21862.0,109.14,0.0,12
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,152940.0,0.0,0.0,M3
ABS,Alcohol Beverage Services,ABS 85 IT Administration,F,122842.0,0.0,5840.66,26
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,89948.0,5882.75,4570.73,19
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,119572.0,0.0,0.0,N26
ABS,Alcohol Beverage Services,ABS 85 IT Administration,F,130167.0,0.0,0.0,N28
ABS,Alcohol Beverage Services,ABS 85 IT Administration,F,110150.27,0.0,0.0,26
ABS,Alcohol Beverage Services,ABS 85 IT Administration,M,133713.0,14078.74,0.0,N28
ABS,Alcohol Beverage Services,ABS 85 Kensington,F,77646.3409,81.16,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,95579.4474,840.32,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,24047.5114,311.45,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Kensington,F,62607.6301,865.22,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,41943.15,359.06,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,57276.881,156.41,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,23340.6395,58.08,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,23340.6395,178.75,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,21862.0,69.72,0.0,12
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,98228.0,244.39,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,53257.6,469.12,4607.03,12
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,66690.4462,182.37,0.0,14
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,43249.8667,456.4,0.0,12
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,24047.9327,2.13,0.0,12
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,53214.6496,1094.83,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,98228.0,0.0,4186.89,N21
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,86103.0,0.0,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,72463.0,308.82,1396.88,14
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,53257.6,906.11,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,45974.7115,528.85,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,62607.646,172.78,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,41943.1365,915.57,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,21862.0,164.05,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,72463.002,4680.01,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,79935.1895,0.0,0.0,N18
ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,98228.0,0.0,0.0,N21
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,44754.6895,1577.22,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,56537.9205,32.59,0.0,14
ABS,Alcohol Beverage Services,ABS 85 Leisure World,M,23340.6395,590.03,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,21862.0,89.69,0.0,12
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,102682.0,283.71,0.0,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,117424.0,0.0,1761.4,N25
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,102682.0,0.0,8175.59,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,102682.0,889.83,1668.68,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,102682.0,0.0,0.0,22
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,48538.622,1145.52,0.0,12
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,45974.74,254.32,0.0,12
